,Location Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,External ID,External ID Type,Location Name,DBA,Legal Business Name,Corporate Entity,Taxonomy,Specialty,Location ID,Region,Affiliation Verification Available,Location Detail IDs Same as Corporate Entity,NPI Number,Tax ID,Medicare ID,Medicaid ID,Contact Information Same as Corporate Entity,Contact Country,Contact Address Line 1,Contact Address Line 2,Contact City,Contact County,Contact State/Province,Contact Zip,Contact Email,Contact Phone Number,Contact Ext.,Contact Fax,Website,Correspondence Same as Corporate Entity,Correspondence Name,Correspondence Title,Correspondence Country,Correspondence Address Line 1,Correspondence Address Line 2,Correspondence City,Correspondence County,Correspondence State/Province,Correspondence Zip,Correspondence Email,Correspondence Phone Number,Correspondence Ext.,Correspondence Fax,Sunday Start Time,Sunday End Time,Sunday Closed,Monday Start Time,Monday End Time,Monday Closed,Tuesday Start Time,Tuesday End Time,Tuesday Closed,Wednesday Start Time,Wednesday End Time,Wednesday Closed,Thursday Start Time,Thursday End Time,Thursday Closed,Friday Start Time,Friday End Time,Friday Closed,Saturday Start Time,Saturday End Time,Saturday Closed,Billing Address Same as Corporate Entity,Billing Name,Billing Country,Billing Address Line 1 ,Billing Address Line 2,Billing City,Billing County,Billing State/Province,Billing Zip,Billing Email,Billing Phone Number,Billing Ext.,Billing Fax,General Notes,Instructions,Location Category,Location Type,Exclude From Workforce Connection,Exclude from HL7 Integration,Provider User Defined Fields (new fields should always be positioned before these)
,File,Error,,,Corporate Entity matches value in Corporate Entity dropdown,Corporate Entity not supported,,"When creating a new record, if Country is not specified but State is specified, State will be saved to record as imported and may not match pre-defined value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Taxonomy,100,Taxonomy does not exceed character limit,Taxonomy exceeds character limit of 100,,"Use a ""|"" character to delimit values imported into multi-select user defined fields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Specialty,50,Specialty does not exceed character limit,Specialty exceeds character limit of 50,,"If External ID Type = Location Key and no match is found for Location Key value in External ID field, a new location will be created using the imported Location Key.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Location ID,,More than one record in the .csv file has at least one of the same Location ID value,Duplicate Location ID found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,Record in .csv file has at least one of the same Location ID values as a Location in the database,Duplicate Location ID found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,64,One of the Location ID values in the Location ID column is over 64 characters,One of the Location ID's exceeds character limit of 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Region,50,Region does not exceed character limit,Region exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Affiliation Verification Available,,"If not left empty, validate field must be Y or N",Affiliation Verification Available must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Location Detail IDs Same as Corporate Entity,,"If not left empty, validate field must be Y or N",Location Detail IDs Same as Corporate Entity must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,NPI Number,,NPI Number is 10 digits long (cannot be less or more),NPI Number must be exactly 10 digits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Tax ID,50,Tax ID does not exceed character limit,Tax ID exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Medicare ID,50,Medicare ID does not exceed character limit,Medicare ID exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Medicaid ID,50,Medicaid ID does not exceed character limit,Medicaid ID exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Information Same as Corporate Entity,,"If not left empty, validate field must be Y or N",Contact Information Same as Corporate Entity must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Country,100,Contact Country does not match a value in company settings where Display = 'y',Contact Country is not recognized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, Country is in import file and differs from Country on record.",Country and State must be provided when updating Country for a record with State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Address Line 1,100,Contact Address Line 1 does not exceed character limit,Contact Address Line 1 exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Address Line 2,50,Contact Address Line 2 does not exceed character limit,Contact Address Line 2 exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact City,50,Contact City does not exceed character limit,Contact City exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact County,100,Contact County does not exceed character limit,Contact County exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact State/Province,,Contact State/Province does not match a value on the dropdown for given Contact Country,Contact State/Province not valid for selected Contact Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, State is in import file and differs from State on record. ",Country and State must be provided when updating State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Zip,,"Contact Zip is not 5, 6, or 9 digits","Contact Zip is not 5, 6, or 9 digits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Email,,Contact Email does not adhere to username@domain.com format,Contact Email not a valid email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Phone Number,,"Contact Phone Number not 9, 10, or 12 digits (also fails if formatting included)","Contact Phone Number must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Ext.,,Contact Ext. exceeds 20 characters or has non-numerical characters,Contact Ext. must be a number up to 20 digits in length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Fax,,"Contact Fax not 9, 10, or 12 digits (also fails if formatting included)","Contact Fax must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Website,,Website must adhere to https://www.subdomain.topdomain format,Website not a valid url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Same as Corporate Entity,,"If not left empty, validate field must be Y or N",Correspondence Same as Corporate Entity must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Name,100,Correspondence Name does not exceed character limit,Correspondence Name exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Title,100,Correspondence Title does not exceed character limit,Correspondence Title exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Country,,Correspondence Country does not match a value on the Country dropdown ,Correspondence Country is not recognized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, Country is in import file and differs from Country on record.",Country and State must be provided when updating Country for a record with State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Address Line 1,100,Correspondence Address Line 1 does not exceed character limit,Correspondence Address Line 1 exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Address Line 2,50,Correspondence Address Line 2 does not exceed character limit,Correspondence Address Line 2 exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence City,50,Correspondence City does not exceed character limit,Correspondence City exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence County,100,Correspondence County does not exceed character limit,Correspondence County exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence State/Province,,Correspondence State/Province does not match a value on the dropdown for given Correspondence Country,Correspondence State/Province not valid for selected Correspondence Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, State is in import file and differs from State on record. ",Country and State must be provided when updating State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Zip,,"Correspondence Zip is not 5, 6, or 9 digits","Correspondence Zip is not 5, 6, or 9 digits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Email,,Correspondence Email does not adhere to username@domain.com format,Correspondence Email not a valid email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Phone Number,,"Correspondence Phone Number not 9, 10, or 12 digits (also fails if formatting included)","Correspondence Phone Number must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Ext.,,Correspondence Ext. exceeds 20 characters or has non-numerical characters,Correspondence Ext. must be a number up to 20 digits in length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Correspondence Fax,,"Correspondence Fax not 9, 10, or 12 digits (also fails if formatting included)","Correspondence Fax must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Sunday Start Time,,Sunday Start Time must adhere to hh:mm military time format,Sunday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Sunday End Time,,Sunday End Time must adhere to hh:mm military time format,Sunday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Sunday Closed,,"Sunday Closed not empty, Y, or N",Sunday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Monday Start Time,,Monday Start Time must adhere to hh:mm military time format,Monday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Monday End Time,,Monday End Time must adhere to hh:mm military time format,Monday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Monday Closed,,"Monday Closed not empty, Y, or N",Monday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Tuesday Start Time,,Tuesday Start Time must adhere to hh:mm military time format,Tuesday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Tuesday End Time,,Tuesday End Time must adhere to hh:mm military time format,Tuesday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Tuesday Closed,,"Tuesday Closed not empty, Y, or N",Tuesday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Wednesday Start Time,,Wednesday Start Time must adhere to hh:mm military time format,Wednesday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Wednesday End Time,,Wednesday End Time must adhere to hh:mm military time format,Wednesday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Wednesday Closed,,"Wednesday Closed not empty, Y, or N",Wednesday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Thursday Start Time,,Thursday Start Time must adhere to hh:mm military time format,Thursday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Thursday End Time,,Thursday End Time must adhere to hh:mm military time format,Thursday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Thursday Closed,,"Thursday Closed not empty, Y, or N",Thursday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Friday Start Time,,Friday Start Time must adhere to hh:mm military time format,Friday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Friday End Time,,Friday End Time must adhere to hh:mm military time format,Friday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Friday Closed,,"Friday Closed not empty, Y, or N",Friday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Saturday Start Time,,Saturday Start Time must adhere to hh:mm military time format,Saturday Start Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Saturday End Time,,Saturday End Time must adhere to hh:mm military time format,Saturday End Time must be formatted as hh:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Saturday Closed,,"Saturday Closed not empty, Y, or N",Saturday Closed must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing Address Same as Corporate Entity,,"If not left empty, validate field must be Y or N",Billing Address Same as Corporate Entity must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing Name,100,Billing Name does not exceed character limit,Billing Name exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing Country,,Billing Country does not match a value on the Country dropdown ,Billing Country is not recognized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Import,,,"When updating an existing record, Country and State exist on record, Country is in import file and differs from Country on record.",Country and State must be provided when updating Country for a record with State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing Address Line 1,100,Billing Address Line 1 does not exceed character limit,Billing Address Line 1 exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing Address Line 2,50,Billing Address Line 2 does not exceed character limit,Billing Address Line 2 exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing City,50,Billing City does not exceed character limit,Billing City exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing County,100,Billing County does not exceed character limit,Billing County exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing State/Province,,Billing State/Province does not match a value on the dropdown for given Billing Country,Billing State/Province not valid for selected Billing Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, State is in import file and differs from State on record. ",Country and State must be provided when updating State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Billing Zip,,"Billing Zip is not 5, 6, or 9 digits","Billing Zip is not 5, 6, or 9 digits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
